reporting_name	reporting_id	taxids	compound_id	class_type	subclass	nucleic_acid	RNA	DNA	seqids_in_rna_db	seqids_in_dna_db	semantic_group	core
Bovine leukemia virus	23079	11901	23079_11901	viral	viral	retro	virus	.	1	0	.	.
Bovine mastadenovirus A	23081	129953	23081_129953	viral	viral	DNA	virus	.	1	0	.	.
Bovine mastadenovirus B	23082	129950	23082_129950	viral	viral	DNA	virus	.	1	0	.	.
Bovine nebovirus	23084	1812179	23084_1812179	viral	viral	RNA	virus	.	1	0	.	.
Bovine nidovirus 1	23085	1631554	23085_1631554	viral	viral	RNA	virus	.	1	0	.	.
Bovine orthopneumovirus	23086	11246	23086_11246	viral	viral	RNA	virus	.	1	0	.	.
Bovine papillomavirus	23087	10571	23087_10571	viral	viral	DNA	virus	.	1	0	.	.
Bovine papillomavirus 8	23088	374077	23088_374077	viral	viral	DNA	virus	.	1	0	.	.
Bovine papillomavirus Aks-02	23089	1969700	23089_1969700	viral	viral	DNA	virus	.	1	0	.	.
Bovine papillomavirus BAA5-Japan	23090	508418	23090_508418	viral	viral	DNA	virus	.	1	0	.	.
Bovine papillomavirus type 10	23092	453461	23092_453461	viral	viral	DNA	virus	.	2	0	.	.
Bovine papillomavirus type 11	23093	714200	23093_714200	viral	viral	DNA	virus	.	1	0	.	.
Bovine papillomavirus type 13	23094	1232138	23094_1232138	viral	viral	DNA	virus	.	1	0	.	.
Bovine papillomavirus type 14	23095	1639825	23095_1639825	viral	viral	DNA	virus	.	1	0	.	.
Bovine papillomavirus type 2	23096	10560	23096_10560	viral	viral	DNA	virus	.	1	0	.	.
Bovine papillomavirus type 4	23097	10562	23097_10562	viral	viral	DNA	virus	.	1	0	.	.
Bovine papillomavirus type 6	23098	10563	23098_10563	viral	viral	DNA	virus	.	1	0	.	.
Bovine papillomavirus type 8-EB	23099	374078	23099_374078	viral	viral	DNA	virus	.	1	0	.	.
Bovine papillomavirus type 9	23100	453460	23100_453460	viral	viral	DNA	virus	.	1	0	.	.
Bovine papular stomatitis virus	23101	129727	23101_129727	viral	viral	DNA	virus	.	5	0	.	.
Bovine parvovirus	23102	10784	23102_10784	viral	viral	DNA	virus	.	1	0	.	.
Bovine parvovirus 3	23103	172297	23103_172297	viral	viral	DNA	virus	.	2	0	.	.
Bovine picobirnavirus	23104	1977295	23104_1977295	viral	viral	RNA	virus	.	1	0	.	.
Bovine polyomavirus 2	23106	1561704,1561703	23106_1561703	viral	viral	DNA	virus	.	2	0	.	.
Bovine respirovirus 3	23108	11215	23108_11215	viral	viral	RNA	virus	.	5	0	.	.
Bovine retrovirus	23109	1822365	23109_1822365	viral	viral	retro	virus	.	1	0	.	.
Bovine rhinitis A virus	23110	1155188	23110_1155188	viral	viral	RNA	virus	.	7	0	.	.
Bovine rhinitis B virus	23111	693066	23111_693066	viral	viral	RNA	virus	.	9	0	.	.
Bovine rhinovirus 1	23112	1606765	23112_1606765	viral	viral	RNA	virus	.	1	0	.	.
Bovine rotavirus A	23113	171615,141270,101355,10927,981017,679019,531927,380901,195478,35333,240592,572153	23113_10927	viral	viral	RNA	virus	.	194	0	Rotavirus	.
Bovine rotavirus B	23114	35334	23114_35334	viral	viral	RNA	virus	.	31	0	Rotavirus	.
Bovine rotavirus C	23115	31588	23115_31588	viral	viral	RNA	virus	.	21	0	Rotavirus	.
Bovine torovirus	23116	74501	23116_74501	viral	viral	RNA	virus	.	1	0	.	.
Bovine viral diarrhea virus 1	23117	11099	23117_11099	viral	viral	RNA	virus	.	6	0	.	.
Bovine viral diarrhea virus 2	23118	54315	23118_54315	viral	viral	RNA	virus	.	17	0	.	.
Bovine viral diarrhea virus 3	23119	381707,402584	23119_381707	viral	viral	RNA	virus	.	3	0	.	.
Bowe orthohantavirus	23123	1400425	23123_1400425	viral	viral	RNA	virus	.	1	0	.	.
Bowmanella denitrificans	10138	366582	10138_366582	bacterial	bacterial	.	16s	.	3	0	.	.
Bowmanella dokdonensis	5959	751969	5959_751969	bacterial	bacterial	.	16s	.	2	0	.	.
Bowmanella pacifica	8399	502051	8399_502051	bacterial	bacterial	.	16s	.	2	0	.	.
Bozo virus	23126	273349	23126_273349	viral	viral	RNA	virus	.	1	0	.	.
Brachyalara straminea	18297	1056129	18297_1056129	fungal	fungal	.	18s	.	2	0	.	.
Brachybacterium alimentarium	6042	47845	6042_47845	bacterial	bacterial	.	16s	.	2	0	.	.
Brachybacterium aquaticum	6553	1432564	6553_1432564	bacterial	bacterial	.	16s	.	1	0	.	.
Brachybacterium arcticum	8723	191338	8723_191338	bacterial	bacterial	.	16s	.	2	0	.	.
Brachybacterium conglomeratum	7269	47846	7269_47846	bacterial	bacterial	.	16s	.	4	0	.	.
Brachybacterium faecium	179	43669,446465	179_43669	bacterial	bacterial	.	16s	bg	8	1	.	bg
Brachybacterium fresconis	5626	173363	5626_173363	bacterial	bacterial	.	16s	.	3	0	.	.
Brachybacterium ginsengisoli	8732	1331682	8732_1331682	bacterial	bacterial	.	16s	.	2	0	.	.
Brachybacterium hainanense	12482	1541174	12482_1541174	bacterial	bacterial	.	16s	.	2	0	.	.
Brachybacterium horti	7493	1517578	7493_1517578	bacterial	bacterial	.	16s	.	3	0	.	.
Brachybacterium huguangmaarense	8027	1652028	8027_1652028	bacterial	bacterial	.	16s	.	2	0	.	.
Brachybacterium massiliense	7637	1755098	7637_1755098	bacterial	bacterial	.	16s	.	1	0	.	.
Brachybacterium muris	4750	219301	4750_219301	bacterial	bacterial	.	16s	bg	5	1	.	bg
Brachybacterium nesterenkovii	14077	47847	14077_47847	bacterial	bacterial	.	16s	.	4	0	.	.
Brachybacterium paraconglomeratum	5124	173362	5124_173362	bacterial	bacterial	.	16s	bg	29	1	.	bg
Brachybacterium phenoliresistens	351	396014	351_396014	bacterial	bacterial	.	16s	bg	4	1	.	bg
Brachybacterium rhamnosum	15227	173361	15227_173361	bacterial	bacterial	.	16s	.	5	0	.	.
Brachybacterium sacelli	14304	173364	14304_173364	bacterial	bacterial	.	16s	.	4	0	.	.
Brachybacterium squillarum	3808	661979,1074488	3808_661979	bacterial	bacterial	.	16s	bg	2	1	.	bg
Brachybacterium tyrofermentans	14236	47848	14236_47848	bacterial	bacterial	.	16s	.	3	0	.	.
Brachybacterium zhongshanense	5710	416230	5710_416230	bacterial	bacterial	.	16s	.	2	0	.	.
Brachymonas chironomi	1979	491919	1979_491919	bacterial	bacterial	.	16s	bg	2	1	.	bg
Brachymonas denitrificans	7738	28220	7738_28220	bacterial	bacterial	.	16s	.	32	0	.	.
Brachyspira aalborgi	6815	29522	6815_29522	bacterial	bacterial	.	16s	.	22	0	.	.
Brachyspira alvinipulli	1130	84379	1130_84379	bacterial	bacterial	.	16s	bg	9	1	.	bg
Brachyspira canis	13290	235984	13290_235984	bacterial	bacterial	.	16s	.	16	0	.	.
Brachyspira corvi	8135	542834	8135_542834	bacterial	bacterial	.	16s	.	10	0	.	.
Brachyspira hampsonii	435	1287055,1203226,1203218	435_1287055	bacterial	bacterial	.	16s	bg	5	3	.	bg
Brachyspira hyodysenteriae	4058	159	4058_159	bacterial	bacterial	.	16s	bg	33	22	.	bg
Brachyspira ibaraki	6638	186375	6638_186375	bacterial	bacterial	.	16s	.	1	0	.	.
Brachyspira innocens	3293	13264	3293_13264	bacterial	bacterial	.	16s	bg	26	1	.	bg
Brachyspira intermedia	1320	1045858,84377	1320_84377	bacterial	bacterial	.	16s	bg	15	1	.	bg
Brachyspira murdochii	2669	84378	2669_84378	bacterial	bacterial	.	16s	bg	10	1	.	bg
Brachyspira muridarum	14417	797079	14417_797079	bacterial	bacterial	.	16s	.	2	0	.	.
Brachyspira muris	12925	797080	12925_797080	bacterial	bacterial	.	16s	.	4	0	.	.
Brachyspira pilosicoli	2181	52584	2181_52584	bacterial	bacterial	.	16s	bg	29	4	.	bg
Brachyspira pulli	14637	310721	14637_310721	bacterial	bacterial	.	16s	.	11	0	.	.
Brachyspira rattus	10648	797076	10648_797076	bacterial	bacterial	.	16s	.	4	0	.	.
Brachyspira suanatina	5150	381802	5150_381802	bacterial	bacterial	.	16s	bg	3	1	.	bg
Brackiella oedipodis	319	124225	319_124225	bacterial	bacterial	.	16s	bg	1	1	.	bg
Bradson virus	23129	1911438	23129_1911438	viral	viral	unclear	virus	.	1	0	.	.
Bradymonas sediminis	6048	1548548	6048_1548548	bacterial	bacterial	.	16s	.	1	0	.	.
Bradymyces alpinus	18763	1562577	18763_1562577	fungal	fungal	.	18s	.	1	0	.	.
Bradymyces graniticola	16638	1841815	16638_1841815	fungal	fungal	.	18s	.	1	0	.	.
Bradymyces oncorhynchi	16565	1562576	16565_1562576	fungal	fungal	.	18s	.	2	0	.	.
Bradyrhizobium americanum	5509	1300045	5509_1300045	bacterial	bacterial	.	16s	.	2	0	.	.
Bradyrhizobium arachidis	14197	858423	14197_858423	bacterial	bacterial	.	16s	bg	2	1	.	.
Bradyrhizobium betae	11885	244734	11885_244734	bacterial	bacterial	.	16s	.	3	0	.	.
Bradyrhizobium canariense	7749	255045	7749_255045	bacterial	bacterial	.	16s	.	17	0	.	.
Bradyrhizobium centrosematis	6843	1300039	6843_1300039	bacterial	bacterial	.	16s	.	2	0	.	.
Bradyrhizobium cytisi	8733	515489	8733_515489	bacterial	bacterial	.	16s	.	5	0	.	.
Bradyrhizobium daqingense	8312	993502	8312_993502	bacterial	bacterial	.	16s	.	1	0	.	.
Bradyrhizobium denitrificans	6141	328552	6141_328552	bacterial	bacterial	.	16s	.	7	0	.	.
Bradyrhizobium diazoefficiens	4398	1355477	4398_1355477	bacterial	bacterial	.	16s	bg	3	5	.	bg
Bradyrhizobium elkanii	4118	29448	4118_29448	bacterial	bacterial	.	16s	bg	93	12	.	bg
Bradyrhizobium embrapense	3651	630921	3651_630921	bacterial	bacterial	.	16s	bg	3	1	.	bg
Bradyrhizobium erythrophlei	487	1437360	487_1437360	bacterial	bacterial	.	16s	bg	5	1	.	bg
Bradyrhizobium ferriligni	7275	1534803	7275_1534803	bacterial	bacterial	.	16s	.	2	0	.	.
Bradyrhizobium ganzhouense	6175	1179767	6175_1179767	bacterial	bacterial	.	16s	.	2	0	.	.
Bradyrhizobium genosp. SA-4	1582	508869	1582_508869	bacterial	bacterial	.	.	bg	0	1	.	bg
Bradyrhizobium huanghuaihaiense	12879	990078	12879_990078	bacterial	bacterial	.	16s	.	2	0	.	.
Bradyrhizobium icense	2994	1274631	2994_1274631	bacterial	bacterial	.	16s	bg	4	1	.	bg
Bradyrhizobium ingae	9468	1497618	9468_1497618	bacterial	bacterial	.	16s	.	2	0	.	.
Bradyrhizobium iriomotense	8885	441950	8885_441950	bacterial	bacterial	.	16s	.	20	0	.	.
Bradyrhizobium japonicum	1374	375,1037409	1374_375	bacterial	bacterial	.	16s	bg	121	21	.	bg
Bradyrhizobium jicamae	421	280332	421_280332	bacterial	bacterial	.	16s	bg	4	1	.	bg
Bradyrhizobium lablabi	2666	722472	2666_722472	bacterial	bacterial	.	16s	bg	3	1	.	bg
Bradyrhizobium liaoningense	935	43992	935_43992	bacterial	bacterial	.	16s	bg	19	3	.	bg
Bradyrhizobium lupini	5605	136996	5605_136996	bacterial	bacterial	.	16s	.	9	0	.	.
Bradyrhizobium manausense	4102	989370	4102_989370	bacterial	bacterial	.	16s	bg	3	1	.	bg
Bradyrhizobium mercantei	14694	1904807	14694_1904807	bacterial	bacterial	.	16s	.	1	0	.	.
Bradyrhizobium neotropicale	1168	1497615	1168_1497615	bacterial	bacterial	.	16s	bg	3	1	.	bg
Bradyrhizobium oligotrophicum	1210	44255,1245469	1210_44255	bacterial	bacterial	.	16s	bg	4	1	.	bg
Bradyrhizobium ottawaense	6072	931866	6072_931866	bacterial	bacterial	.	16s	.	2	0	.	.
Bradyrhizobium pachyrhizi	4339	280333	4339_280333	bacterial	bacterial	.	16s	bg	5	2	.	bg
Bradyrhizobium paxllaeri	2821	190148	2821_190148	bacterial	bacterial	.	16s	bg	1	1	.	bg
Bradyrhizobium phage BDU-MI-1	23130	1983459	23130_1983459	viral	phage	unclear	virus	.	1	0	.	.
Bradyrhizobium retamae	3597	1300035	3597_1300035	bacterial	bacterial	.	16s	bg	3	1	.	bg
Bradyrhizobium rifense	14303	515499	14303_515499	bacterial	bacterial	.	16s	.	3	0	.	.
Bradyrhizobium stylosanthis	3680	1803665	3680_1803665	bacterial	bacterial	.	16s	bg	1	1	.	bg
Bradyrhizobium subterraneum	8776	1549945	8776_1549945	bacterial	bacterial	.	16s	.	2	0	.	.
Bradyrhizobium tropiciagri	11463	312253	11463_312253	bacterial	bacterial	.	16s	.	2	0	.	.
Bradyrhizobium valentinum	5264	1518501	5264_1518501	bacterial	bacterial	.	16s	bg	2	2	.	bg
Bradyrhizobium viridifuturi	4130	1654716	4130_1654716	bacterial	bacterial	.	16s	bg	4	1	.	bg
Bradyrhizobium yuanmingense	5123	108015	5123_108015	bacterial	bacterial	.	16s	bg	59	4	.	bg
Braid Burn virus	23131	1807796	23131_1807796	viral	viral	unclear	virus	.	1	0	.	.
Branchiibius cervicis	13587	908252	13587_908252	bacterial	bacterial	.	16s	.	3	0	.	.
Branchiibius hedensis	5602	672460	5602_672460	bacterial	bacterial	.	16s	.	2	0	.	.
Brasilonema angustatum	11868	1249745	11868_1249745	bacterial	bacterial	.	16s	.	2	0	.	.
Brasilonema bromeliae	9152	383615	9152_383615	bacterial	bacterial	.	16s	.	1	0	.	.
Brasilonema octagenarum	7236	417105	7236_417105	bacterial	bacterial	.	16s	.	1	0	.	.
Brasilonema terrestre	6456	435971	6456_435971	bacterial	bacterial	.	16s	.	1	0	.	.
Brassica campestris chrysovirus 1	23134	1692191	23134_1692191	viral	fungal_virus	RNA	virus	.	3	0	.	.
Brassica rapa cryptic virus 1	23135	1768875	23135_1768875	viral	plant_virus	RNA	virus	.	1	0	.	.
Brassica yellows virus	23136	1046403	23136_1046403	viral	plant_virus	RNA	virus	.	5	0	.	.
Brassicibacter mesophilus	9099	745119	9099_745119	bacterial	bacterial	.	16s	.	3	0	.	.
Brassicibacter thermophilus	7091	1548890	7091_1548890	bacterial	bacterial	.	16s	.	3	0	.	.
Brazilian marseillevirus	23138	1813599	23138_1813599	viral	protist_virus	DNA	virus	.	2	0	.	.
Brazilian weed virus Y	23140	1888953	23140_1888953	viral	plant_virus	RNA	virus	.	1	0	.	.
Brazoran virus	23141	1368616	23141_1368616	viral	viral	RNA	virus	.	1	0	.	.
Breda virus	23143	46473	23143_46473	viral	viral	RNA	virus	.	1	0	.	.
Breinlia mundayi	20010	1080938	20010_1080938	parasite	parasite	.	18s	.	1	0	.	.
Brejeira virus	23144	1552662	23144_1552662	viral	viral	RNA	virus	.	3	0	.	.
Brenneria alni	10059	71656	10059_71656	bacterial	bacterial	.	16s	.	7	0	.	.
Brenneria goodwinii	3437	1109412	3437_1109412	bacterial	bacterial	.	16s	bg	6	1	.	bg
Brenneria nigrifluens	7102	55210	7102_55210	bacterial	bacterial	.	16s	.	31	0	.	.
Brenneria populi	12607	1233703,1505588	12607_1505588	bacterial	bacterial	.	16s	.	2	0	.	.
Brenneria rubrifaciens	9209	55213	9209_55213	bacterial	bacterial	.	16s	.	9	0	.	.
Brenneria salicis	6782	714314,55214	6782_55214	bacterial	bacterial	.	16s	.	11	0	.	.
Breoghania corrubedonensis	12973	665038	12973_665038	bacterial	bacterial	.	16s	.	2	0	.	.
Brettanomyces acidodurans	17309	1958866	17309_1958866	fungal	fungal	.	18s	.	2	0	.	.
Brettanomyces anomalus	18558	37662	18558_37662	fungal	fungal	.	18s	.	4	0	.	.
Brettanomyces bruxellensis	19018	5007	19018_5007	fungal	fungal	.	18s	.	7	0	.	.
Brettanomyces custersianus	19165	13368	19165_13368	fungal	fungal	.	18s	.	2	0	.	.
Brettanomyces naardenensis	16858	13370	16858_13370	fungal	fungal	.	18s	.	2	0	.	.
Brettanomyces nanus	15763	13502	15763_13502	fungal	fungal	.	18s	.	1	0	.	.
Bretziella fagacearum	16650	1836592	16650_1836592	fungal	fungal	.	18s	.	1	0	.	.
Brevibacillus agri	2290	51101	2290_51101	bacterial	bacterial	.	16s	bg	43	2	.	bg
Brevibacillus aydinogluensis	11034	927786	11034_927786	bacterial	bacterial	.	16s	.	4	0	.	.
Brevibacillus borstelensis	2222	45462	2222_45462	bacterial	bacterial	.	16s	bg	39	3	.	bg
Brevibacillus brevis	3012	1393	3012_1393	bacterial	bacterial	.	16s	bg	119	6	.	bg
Brevibacillus centrosporus	13505	54910	13505_54910	bacterial	bacterial	.	16s	.	7	0	.	.
Brevibacillus choshinensis	2146	54911	2146_54911	bacterial	bacterial	.	16s	bg	15	1	.	bg
Brevibacillus fluminis	14882	511487	14882_511487	bacterial	bacterial	.	16s	.	4	0	.	.
Brevibacillus formosus	5335	54913	5335_54913	bacterial	bacterial	.	16s	bg	20	1	.	bg
Brevibacillus fulvus	6306	1125967	6306_1125967	bacterial	bacterial	.	16s	.	2	0	.	.
Brevibacillus gelatini	7589	1655277	7589_1655277	bacterial	bacterial	.	16s	.	2	0	.	.
Brevibacillus ginsengisoli	12374	363854	12374_363854	bacterial	bacterial	.	16s	.	2	0	.	.
Brevibacillus halotolerans	8023	1507437	8023_1507437	bacterial	bacterial	.	16s	.	2	0	.	.
Brevibacillus invocatus	7473	173959	7473_173959	bacterial	bacterial	.	16s	.	9	0	.	.
Brevibacillus laterosporus	5466	1465	5466_1465	bacterial	bacterial	.	16s	bg	59	6	.	bg
Brevibacillus levickii	11305	278990	11305_278990	bacterial	bacterial	.	16s	.	8	0	.	.
Brevibacillus limnophilus	12388	267745	12388_267745	bacterial	bacterial	.	16s	.	6	0	.	.
Brevibacillus massiliensis	1186	1118054	1186_1118054	bacterial	bacterial	.	16s	bg	2	1	.	bg
Brevibacillus nitrificans	6407	651560	6407_651560	bacterial	bacterial	.	16s	.	4	0	.	.
Brevibacillus panacihumi	3242	497735	3242_497735	bacterial	bacterial	.	16s	bg	9	1	.	bg
Brevibacillus parabrevis	2987	54914	2987_54914	bacterial	bacterial	.	16s	bg	43	1	.	bg
Brevibacillus phage Abouo	23146	1296661	23146_1296661	viral	phage	DNA	virus	.	2	0	.	.
Brevibacillus phage Davies	23147	1296662	23147_1296662	viral	phage	DNA	virus	.	2	0	.	.
Brevibacillus phage Emery	23148	1296660	23148_1296660	viral	phage	DNA	virus	.	1	0	.	.
Brevibacillus phage Jenst	23149	1691954	23149_1691954	viral	phage	DNA	virus	.	2	0	.	.
Brevibacillus phage Jimmer1	23150	1296659	23150_1296659	viral	phage	DNA	virus	.	2	0	.	.
Brevibacillus phage Jimmer2	23151	1296658	23151_1296658	viral	phage	DNA	virus	.	1	0	.	.
Brevibacillus phage Osiris	23152	1691955	23152_1691955	viral	phage	DNA	virus	.	2	0	.	.
Brevibacillus phage Powder	23153	1691957	23153_1691957	viral	phage	DNA	virus	.	1	0	.	.
Brevibacillus phage SecTim467	23154	1691956	23154_1691956	viral	phage	DNA	virus	.	1	0	.	.
Brevibacillus phage Sundance	23155	1691958	23155_1691958	viral	phage	DNA	virus	.	2	0	.	.
Brevibacillus reuszeri	1164	54915	1164_54915	bacterial	bacterial	.	16s	bg	29	1	.	bg
Brevibacillus sediminis	5860	1707527	5860_1707527	bacterial	bacterial	.	16s	.	1	0	.	.
Brevibacillus thermoruber	3189	33942	3189_33942	bacterial	bacterial	.	16s	bg	16	2	.	bg
Brevibacterium album	2947	417948	2947_417948	bacterial	bacterial	.	16s	bg	3	1	.	bg
Brevibacterium ammoniilyticum	9289	1046555	9289_1046555	bacterial	bacterial	.	16s	.	2	0	.	.
Brevibacterium antarcticum	7195	239268	7195_239268	bacterial	bacterial	.	16s	.	2	0	.	.
Brevibacterium antiquum	14504	234835	14504_234835	bacterial	bacterial	.	16s	.	2	0	.	.
Brevibacterium aurantiacum	11167	273384	11167_273384	bacterial	bacterial	.	16s	.	3	0	.	.
Brevibacterium avium	10997	83828	10997_83828	bacterial	bacterial	.	16s	.	6	0	.	.
Brevibacterium casei	5493	33889	5493_33889	bacterial	bacterial	.	16s	bg	23	2	.	bg
Brevibacterium celere	7533	225845	7533_225845	bacterial	bacterial	.	16s	.	2	0	.	.
Brevibacterium daeguense	6124	909936	6124_909936	bacterial	bacterial	.	16s	.	3	0	.	.
Brevibacterium epidermidis	972	1698	972_1698	bacterial	bacterial	.	16s	bg	9	1	.	bg
Brevibacterium equis	7834	110100	7834_110100	bacterial	bacterial	.	16s	.	1	0	.	.
Brevibacterium flavum (Corynebacterium flavum)	4169	92706	4169_92706	bacterial	bacterial	.	.	bg	0	2	.	bg
Brevibacterium frigoritolerans (Bacillus frigoritolerans)	758	450367	758_450367	bacterial	bacterial	.	16s	bg	3	1	.	bg
Brevibacterium ihuae	9247	1631743	9247_1631743	bacterial	bacterial	.	16s	.	1	0	.	.
Brevibacterium iodinum	10889	31943	10889_31943	bacterial	bacterial	.	16s	.	10	0	.	.
Brevibacterium jeotgali	10306	1262550	10306_1262550	bacterial	bacterial	.	16s	.	2	0	.	.
Brevibacterium linens	2909	1703	2909_1703	bacterial	bacterial	.	16s	bg	15	4	.	bg
Brevibacterium luteolum	14738	199591	14738_199591	bacterial	bacterial	.	16s	.	11	0	.	.
Brevibacterium marinum	14413	418643	14413_418643	bacterial	bacterial	.	16s	.	2	0	.	.
Brevibacterium mcbrellneri	2964	53363	2964_53363	bacterial	bacterial	.	16s	bg	1	1	.	bg
Brevibacterium oceani	15067	358099	15067_358099	bacterial	bacterial	.	16s	.	6	0	.	.
Brevibacterium otitidis	9452	53364	9452_53364	bacterial	bacterial	.	16s	.	4	0	.	.
Brevibacterium paucivorans	7821	170994	7821_170994	bacterial	bacterial	.	16s	.	3	0	.	.
Brevibacterium permense	5759	234834	5759_234834	bacterial	bacterial	.	16s	.	4	0	.	.
Brevibacterium picturae	10388	260553	10388_260553	bacterial	bacterial	.	16s	.	2	0	.	.
Brevibacterium pityocampae	14221	506594	14221_506594	bacterial	bacterial	.	16s	.	2	0	.	.
Brevibacterium ravenspurgense	1615	479117	1615_479117	bacterial	bacterial	.	16s	bg	9	4	.	bg
Brevibacterium salitolerans	8368	1403566	8368_1403566	bacterial	bacterial	.	16s	.	2	0	.	.
Brevibacterium samyangense	6599	366888	6599_366888	bacterial	bacterial	.	16s	.	3	0	.	.
Brevibacterium sandarakinum	11814	629680	11814_629680	bacterial	bacterial	.	16s	.	4	0	.	.
Brevibacterium sanguinis	13727	232444	13727_232444	bacterial	bacterial	.	16s	.	8	0	.	.
Brevibacterium sediminis	7092	1857024	7092_1857024	bacterial	bacterial	.	16s	.	3	0	.	.
Brevibacterium senegalense	3089	1033736	3089_1033736	bacterial	bacterial	.	16s	bg	3	1	.	bg
Brevibacterium siliguriense	12257	1136497	12257_1136497	bacterial	bacterial	.	16s	.	3	0	.	.
Brevibacterium yomogidense	5919	946573	5919_946573	bacterial	bacterial	.	16s	.	2	0	.	.
Brevicoryne brassicae virus	23162	436447	23162_436447	viral	viral	RNA	virus	.	2	0	.	.
Brevifollis gellanilyticus	7672	748831	7672_748831	bacterial	bacterial	.	16s	.	2	0	.	.
Brevinema andersonii	5547	34097	5547_34097	bacterial	bacterial	.	16s	.	4	0	.	.
Brevirhabdus pacifica	10022	1267768	10022_1267768	bacterial	bacterial	.	16s	.	2	0	.	.
Brevitalea aridisoli	11429	1458336	11429_1458336	bacterial	bacterial	.	16s	.	2	0	.	.
Brevitalea deliciosa	10402	1603870	10402_1603870	bacterial	bacterial	.	16s	.	2	0	.	.
Brevundimonas abyssalis	74	1125965,1391729	74_1125965	bacterial	bacterial	.	16s	bg	2	1	.	bg
Brevundimonas alba	8898	74314	8898_74314	bacterial	bacterial	.	16s	.	3	0	.	.
Brevundimonas albigilva	7515	1312364	7515_1312364	bacterial	bacterial	.	16s	.	1	0	.	.
Brevundimonas aurantiaca	10830	74316	10830_74316	bacterial	bacterial	.	16s	.	9	0	.	.
Brevundimonas aveniformis	5410	370977	5410_370977	bacterial	bacterial	.	16s	bg	2	1	.	bg
Brevundimonas bacteroides	5139	74311	5139_74311	bacterial	bacterial	.	16s	bg	3	1	.	bg
Brevundimonas balnearis	15213	1572858	15213_1572858	bacterial	bacterial	.	16s	.	2	0	.	.
Brevundimonas basaltis	9246	472166	9246_472166	bacterial	bacterial	.	16s	.	3	0	.	.
Brevundimonas bullata	10426	13160	10426_13160	bacterial	bacterial	.	16s	.	8	0	.	.
Brevundimonas canariensis	8453	1904756	8453_1904756	bacterial	bacterial	.	16s	.	2	0	.	.
Brevundimonas denitrificans	7158	1443434	7158_1443434	bacterial	bacterial	.	16s	.	2	0	.	.
Brevundimonas diminuta	3693	293,751586	3693_293	bacterial	bacterial	.	16s	bg	28	3	.	bg
Brevundimonas faecalis	13130	947378	13130_947378	bacterial	bacterial	.	16s	.	2	0	.	.
Brevundimonas halotolerans	14505	69670	14505_69670	bacterial	bacterial	.	16s	.	2	0	.	.
Brevundimonas intermedia	5910	74315	5910_74315	bacterial	bacterial	.	16s	.	12	0	.	.
Brevundimonas kwangchunensis	12417	322163	12417_322163	bacterial	bacterial	.	16s	.	4	0	.	.
Brevundimonas lenta	10709	424796	10709_424796	bacterial	bacterial	.	16s	.	4	0	.	.
Brevundimonas mediterranea	13169	74329	13169_74329	bacterial	bacterial	.	16s	.	4	0	.	.
Brevundimonas naejangsanensis	1169	588932	1169_588932	bacterial	bacterial	.	16s	bg	6	2	.	bg
Brevundimonas nasdae	3341	172043	3341_172043	bacterial	bacterial	.	16s	bg	8	1	.	bg
Brevundimonas olei	8987	657642	8987_657642	bacterial	bacterial	.	16s	.	4	0	.	.
Brevundimonas poindexterae	7485	74325	7485_74325	bacterial	bacterial	.	16s	.	2	0	.	.
Brevundimonas staleyi	13571	74326	13571_74326	bacterial	bacterial	.	16s	.	3	0	.	.
Brevundimonas subvibrioides	1510	74313	1510_74313	bacterial	bacterial	.	16s	bg	5	1	.	bg
Brevundimonas terrae	8926	363631	8926_363631	bacterial	bacterial	.	16s	.	6	0	.	.
Brevundimonas vancanneytii	12530	1325724	12530_1325724	bacterial	bacterial	.	16s	.	1	0	.	.
Brevundimonas variabilis	10676	74312	10676_74312	bacterial	bacterial	.	16s	.	2	0	.	.
Brevundimonas vesicularis	4171	41276	4171_41276	bacterial	bacterial	.	16s	bg	11	1	.	bg
Brevundimonas viscosa	9332	871741	9332_871741	bacterial	bacterial	.	16s	.	3	0	.	.
Breznakia blatticola	6316	1754012	6316_1754012	bacterial	bacterial	.	16s	.	3	0	.	.
Breznakia pachnodae	8240	265178	8240_265178	bacterial	bacterial	.	16s	.	2	0	.	.
Brigantiaea fuscolutea	18271	1145296	18271_1145296	fungal	fungal	.	18s	.	1	0	.	.
Brinovirus	23164	1416629	23164_1416629	viral	viral	unclear	virus	.	1	0	.	.
Brno virus	23165	1744961	23165_1744961	viral	viral	RNA	virus	.	3	0	.	.
Broad bean mottle virus	23166	12301	23166_12301	viral	plant_virus	RNA	virus	.	5	0	.	.
Broad bean necrosis virus	23167	79918	23167_79918	viral	plant_virus	RNA	virus	.	3	0	.	.
Broad bean stain virus	23169	593572	23169_593572	viral	plant_virus	RNA	virus	.	1	0	.	.
Broad bean true mosaic virus	23170	649890	23170_649890	viral	plant_virus	RNA	virus	.	2	0	.	.
Broad bean wilt virus	23171	95622	23171_95622	viral	plant_virus	RNA	virus	.	2	0	.	.
Broad bean wilt virus 1	23172	50817	23172_50817	viral	plant_virus	RNA	virus	.	6	0	.	.
Broad bean wilt virus 2	23173	76875	23173_76875	viral	plant_virus	RNA	virus	.	62	0	.	.
Broad-leafed dock virus A	23174	1987403	23174_1987403	viral	plant_virus	RNA	virus	.	1	0	.	.
Brochothrix campestris	3403	2757	3403_2757	bacterial	bacterial	.	16s	bg	3	1	.	bg
